label,projection_score
0,0.09493428
0,0.0088768415
1,-0.2372011
1,-0.24227342
0,-0.01619132
0,0.099626124
0,-0.04589102
0,0.006870193
1,0.028800227
1,-0.27644214
0,-0.13171494
1,-0.046891175
1,0.044565972
1,0.07965265
0,0.10620451
1,-0.044818882
0,-0.08352909
0,0.08160592
0,-9.129045e-05
1,0.10456041
1,0.24581307
1,0.20954715
1,0.076261505
0,0.111731835
1,0.2854801
0,0.00958415
1,0.25442436
0,0.053605072
0,0.027091801
1,0.16967978
1,-0.0073209517
0,0.075653635
1,-0.10773353
1,0.18581413
0,0.06052793
0,0.0239025
1,-0.07032732
0,0.013737984
0,-0.107382305
1,0.037358154
0,0.004146542
0,-0.03082535
0,0.13123742
1,0.01800585
0,-0.10389562
1,-0.12182054
0,0.06488407
0,-0.11492778
0,-0.06869386
1,-0.042298354
1,0.068141595
1,-0.03448854
1,-0.095154844
1,0.10747271
0,-0.08016693
0,0.09575821
0,-0.011586843
0,0.0424276
1,0.13757026
0,-0.012265069
1,-0.37967932
0,0.019621583
1,0.012275266
0,0.0281456
1,0.38022602
1,0.21687791
0,-0.025814613
1,-0.0032864008
1,0.13652788
0,0.15537363
0,-0.053977843
1,0.12646872
1,-0.24331099
0,-0.078560874
1,-0.15071209
0,-0.12105787
1,-0.012554206
1,0.030719891
1,-0.20726022
0,0.06599717
0,0.16192947
1,0.046913493
0,-0.0018399823
1,-0.19934984
1,0.12711573
0,-0.058219388
0,-0.02607305
1,-0.05857916
0,-0.107450984
1,-0.00033734413
0,-0.2508619
0,0.18103966
0,0.10326441
0,-0.0072007277
0,0.031018581
1,0.1486366
1,-0.11448235
0,0.053285945
1,0.28664446
0,0.08867026
1,0.08894584
1,-0.083192244
1,-0.033831723
1,0.39830092
1,0.0062509715
0,0.055056434
1,0.0098473085
0,-0.024781276
0,-0.12907806
0,-0.10897579
0,0.11302044
0,-0.04514855
0,0.109095916
0,0.005990955
1,0.16739815
1,-0.15787229
1,-0.026291825
1,0.028713806
1,0.042848494
0,0.13971657
1,-0.030891834
1,0.015129749
0,0.13670349
0,0.087117456
0,0.072746605
0,0.12666896
0,0.029976992
1,-0.30496296
1,-0.16670762
1,-0.21102715
1,0.123540714
1,-0.08069806
0,-0.017991442
0,0.12624735
0,-0.009494227
0,0.016943255
0,-0.09133144
1,0.21554504
0,-0.075423956
1,0.08862914
0,0.13880484
0,-0.022169806
0,-0.10092445
0,0.040773373
1,0.07609995
1,0.38625923
0,0.06814209
1,-0.056680888
1,-0.22919661
0,0.089616604
1,0.07454303
0,-0.095630035
0,0.066860706
0,-0.08387008
0,-0.09700328
1,0.15457855
0,0.007678408
0,0.16046944
0,-0.03537693
0,0.12877779
0,-0.06095732
0,0.08449363
1,0.3672211
1,0.16057669
1,-0.07106336
0,-0.04249862
0,0.015009496
1,0.0887548
0,-0.02991747
1,-0.11273179
0,0.038463414
1,-0.26231143
1,-0.0022038054
0,0.04090732
1,0.021823552
1,0.061595533
1,-0.10704939
1,0.027073124
1,-0.13480636
0,0.060030863
0,0.14127192
0,0.051781755
0,-0.04944288
1,0.17964518
1,0.14165078
1,-0.0011187792
1,0.24710345
0,-0.19323216
1,0.08425738
0,0.2039786
0,-0.18412331
1,-0.3002616
0,-0.0932008
1,0.02319371
1,0.019432893
0,0.04818516
1,-0.085550845
1,0.046041656
0,0.10138127
1,-0.10950514
1,-0.13818514
0,0.17127952
1,-0.13224658
0,0.010019494
1,-0.14703539
1,0.06558903
1,0.16451624
0,0.055393197
1,0.30304626
1,0.29910332
0,0.041831534
1,0.293971
0,0.07401069
0,-0.00054160133
1,0.08848651
1,-0.05456403
0,0.009523243
1,-0.018129045
1,0.12074044
0,0.11992938
1,0.02799204
1,0.15049957
0,0.019829076
0,0.18397078
0,0.05036604
1,0.015051139
0,0.17591248
0,-0.08096929
1,0.1914113
0,0.010038473
1,0.06818529
0,-0.026162835
1,0.15424618
1,0.13285217
1,-0.017009582
1,0.07983815
0,-0.10015196
0,-0.09578109
1,0.37826875
1,0.17907019
1,-0.015092695
0,-0.10064029
0,-0.06305748
1,0.0972105
1,-0.0593374
1,0.18448602
1,-0.050628334
0,0.03722901
1,0.15007575
0,0.057826508
0,-0.08609676
0,-0.04191056
1,-0.2503247
1,-0.00857188
1,0.30895415
1,0.3149548
1,0.007849494
1,0.14120093
1,-0.08375047
0,-0.07100785
0,0.09325331
1,-0.05906174
0,-0.007956563
0,0.07051055
0,0.0012196316
0,-0.037725378
0,-0.15404433
1,-0.0439453
1,0.4665288
1,0.16681388
0,-0.010849318
1,0.1903712
0,0.17858393
0,0.06546787
1,0.08419815
0,0.004891759
1,0.14338046
0,0.1001843
1,-0.013378726
1,-0.22207952
0,-0.09364162
0,-0.0014352724
1,-0.013044881
1,0.2895446
0,0.03710582
1,0.0038889705
0,-0.05792362
1,-0.43824548
0,0.19345523
0,0.11620164
0,0.10860599
1,0.15099134
1,-0.32414597
1,0.06910882
1,0.08400852
1,0.08873053
0,-0.01442197
0,-0.002921808
1,0.11817044
1,0.14292479
0,-0.001272717
1,-0.044470258
1,0.17175828
1,-0.11471853
0,-0.0882842
0,0.026824003
1,-0.12650625
1,0.15291381
0,0.011049388
1,0.1506769
1,0.10988075
0,0.020601097
1,0.023315374
1,-0.26651374
1,0.19456178
1,0.116299406
0,0.026343465
0,-0.046097517
1,-0.3027957
0,-0.025022548
0,0.010686989
0,-0.15635672
1,0.08514369
1,-0.060697455
1,0.14580576
1,0.21540275
0,0.016936038
0,-0.03967259
0,0.11784299
0,0.20223619
1,0.10239206
0,0.04201201
0,0.016384536
0,-0.03926266
0,-0.10397731
0,-0.18631096
0,0.07229032
0,-0.009864881
0,0.14543957
1,0.001494269
0,0.112551026
1,0.111298576
0,-0.046771735
0,0.003234882
1,0.00052079745
1,0.2696929
1,0.43858978
1,0.13493165
1,-0.064011864
1,0.23343359
0,-0.041802283
1,0.014414084
0,-0.07624745
1,0.07895451
0,0.14507689
0,-0.042460766
1,-0.030895418
0,-0.09313658
0,-0.093354836
1,0.028491158
1,0.15886123
0,-0.13698219
0,-0.03283467
1,-0.15993398
0,-0.07523841
0,0.12775737
0,-0.05400541
0,-0.09414073
1,0.27242866
1,-0.052520137
1,0.008801439
1,0.07053583
0,0.104997486
0,0.011761635
1,0.0006473195
0,-0.027532704
0,-0.15113117
0,-0.025296737
1,0.13752837
1,-0.014481911
1,-0.13745444
0,0.09314835
0,-0.02434055
0,-0.039622914
0,0.03096136
0,0.092252836
1,-0.113446265
0,-0.019290248
1,0.12836893
0,-0.04718265
1,0.014488972
0,-0.030707808
1,-0.037583474
0,0.04792411
1,0.049759917
1,0.07755147
1,0.16424294
1,0.038901035
0,0.09751278
0,-0.026682314
0,0.058636714
1,0.2982338
1,0.06612363
1,-0.020347496
1,0.08292713
1,0.08563086
0,-0.09087044
0,-0.022808896
0,0.05633146
1,0.21108998
1,0.11031484
0,0.060223583
0,0.024093058
1,-0.2448507
1,0.066110946
0,-0.10609767
1,0.1518004
1,-0.068727106
1,-0.036732998
0,0.11568058
1,-0.25586075
1,0.12336318
1,-0.1180045
0,0.06434796
1,0.042322095
0,0.14239687
1,-0.052820105
0,0.020690918
1,-0.20694311
0,0.040644016
1,-0.010117263
1,0.024409322
1,0.018149085
1,-0.016346801
0,-0.06033671
1,-0.023808826
0,-0.07800183
0,0.008333555
1,0.20789772
0,-0.014770475
0,0.018707298
0,0.08268193
0,0.17899615
0,0.13992463
1,0.27754387
1,-0.055724125
1,-0.115910195
1,0.4213908
1,0.06377084
0,0.031262085
0,0.08382343
0,-0.025111545
1,-0.009039798
1,-0.13447763
1,0.1714847
1,0.20410034
1,-0.03306056
1,-0.18667768
1,0.39367837
0,-0.11018682
0,0.09805646
1,-0.019921467
1,0.036992464
1,0.35829958
1,-0.012970854
0,-0.014952499
1,-0.22041896
0,-0.10276326
0,-0.04108765
0,-0.025186129
1,0.076815434
1,0.055295885
0,0.10312452
1,-0.061660424
0,-0.040236447
1,0.057940956
0,0.016740508
0,-0.030543096
1,-0.018454297
1,-0.18249992
0,0.017738262
1,0.052989338
0,0.17085265
0,0.13770331
1,0.06831794
1,0.19602706
1,0.16222933
0,-0.1570797
0,-0.13452666
1,0.039062038
1,0.061780892
1,0.23399608
0,0.09925976
1,0.04172509
0,0.090349585
0,0.17572635
1,0.04175327
1,-0.18142356
0,-0.055617835
0,0.014218695
1,0.27973917
1,0.010339205
1,0.15952586
1,-0.113593295
0,0.1462694
1,-0.07847278
0,-0.06798737
1,0.28377873
0,0.20562255
0,0.0010386342
0,-0.10811053
0,0.049813002
0,0.015819388
0,-0.10593532
0,0.05475648
1,0.068320476
1,0.08551456
1,0.1619143
0,-0.023257751
0,0.07048419
1,0.025747398
1,0.10792396
0,0.060900193
1,0.06264033
0,0.11856748
0,0.032910604
1,-0.0141903795
0,-0.020623492
0,0.004271744
0,-0.016643535
1,0.10830784
0,-0.058756195
0,-0.09240675
1,-0.05265797
