label,pca_x,pca_y
0,-0.37052506,0.05145517
0,0.021233492,0.07719095
0,-0.010283146,0.017594308
1,-0.031694584,0.17337832
1,0.11108802,-0.15867783
0,-0.09674165,0.124665536
1,-0.016025346,-0.08829059
0,0.0035164766,-0.31891966
0,0.10932173,0.19262026
0,-0.11112034,-0.13653637
0,-0.06816437,0.12689526
0,0.03952563,0.07542362
0,-0.2623669,0.020568892
1,-0.2703486,-0.39928484
1,-0.053037457,0.4591828
1,-0.20412098,0.15958048
1,0.2871317,0.028775826
1,-0.21335983,-0.028895393
1,-0.28523403,0.028336674
0,0.38435325,-0.28787535
1,-0.2605541,-0.26565206
0,0.1621618,0.049119398
0,0.11722401,0.1352762
1,-0.29206547,-0.05565773
0,-0.01967673,-0.21074088
1,0.048784945,-0.08849715
1,0.3214386,-0.103765264
1,0.08193165,0.117149085
0,0.11819555,0.09676608
0,0.10879406,0.17329231
0,-0.26408318,0.13647318
0,-0.16797653,0.2197633
1,-0.051312815,0.1919923
1,-0.095045984,-0.033787504
1,0.29304212,-0.27722526
1,-0.105938315,-0.05364509
0,0.11126752,-0.093150124
0,0.12313156,-0.05879177
1,-0.12951985,-0.11314212
1,-0.19483277,0.13298589
0,0.088673756,0.0010718554
0,-0.07130213,0.018124446
1,0.18648458,0.44835067
0,-0.04751125,-0.08550142
1,-0.28759453,0.23298073
1,0.20036566,-0.06481601
1,-0.0112018995,-0.0017902702
1,0.19608152,-0.02854301
1,0.15163523,-0.0055389255
1,0.13777798,-0.0059138834
0,-0.45048028,-0.107873335
0,-0.25766206,0.09641723
0,0.07790966,0.048855826
0,0.10786854,0.011693634
1,-0.3126749,-0.25513023
0,-0.31397173,-0.04551658
1,0.3413024,-0.00046423078
0,-0.0908134,-0.056737557
1,0.1253304,0.12227359
1,0.08536416,-0.43381846
1,-0.31847015,-0.120967224
0,-0.013506435,-0.006425619
0,-0.21167949,0.23299041
0,0.07952629,0.086127356
0,0.07755296,0.076096416
1,-0.04704535,-0.4786079
0,0.06268811,-0.0023202747
1,0.34317303,0.019738115
0,-0.017614434,0.08079628
1,-0.41745657,0.028883845
0,0.08814973,-0.061052725
0,-0.050010126,0.11589476
1,0.24325237,0.12356463
1,0.29856497,0.035183854
1,-0.15198262,0.047255352
1,0.15459323,-0.07680912
1,0.06579694,0.35403422
0,-0.16049871,-0.1536581
0,-0.11081734,0.026024781
0,0.28616363,0.053504758
1,-0.30075586,-0.063237265
1,0.26736516,0.35381347
1,-0.23640785,-0.27589256
0,-0.1033795,0.09548904
0,0.11076559,0.2231989
1,-0.3175586,0.13982236
0,-0.052438676,-0.14675869
0,0.23789692,0.022314705
1,0.2583808,-0.0067171752
0,0.018916976,-0.18556143
1,0.22716814,0.023541689
0,-0.11571556,0.059715666
0,0.04659638,-0.020399258
0,-0.021514077,-0.06871611
0,-0.019563884,0.045818023
0,-0.19131553,-0.0013012588
0,0.12755051,0.08323997
0,-0.47911137,-0.1434889
1,-0.10401788,-0.2016163
1,0.17318353,0.29717246
1,-0.3699863,-0.20746742
1,-0.01251162,-0.1343913
0,0.02252664,0.026660725
1,-0.008953601,0.011962369
0,0.01353889,-0.0012094378
1,0.07236551,-0.11086318
0,-0.117192686,-0.06519279
1,0.013214648,-0.080505624
1,-0.04669347,-0.10465883
0,-0.11232166,0.27656502
0,-0.017329913,0.05529788
0,-0.27827883,-0.014674872
